,,,,,,,,,,
,Concussions: Preseason and Regular Season 2015 - 2022,,,,,,,,,
,Year,Preseason,,,Regular Season,,,Preseason + Regular Season,,
,,,,,,,,,,
,,Game,Pratice,Total,Game,Pratice,Total,Game,Pratice,Total
,,,,,,,,,,
,2015,54,29,83,183,9,192,237,38,275
,,,,,,,,,,
,2016,45,26,71,166,9,172,211,32,243
,,,,,,,,,,
,2017,46,45,91,179,11,190,225,56,281
,,,,,,,,,,
,2018,19,45,79,127,8,135,161,53,214
,,,,,,,,,,
,2019,22,30,79,136,9,145,185,39,224
,,,,,,,,,,
,2020,N/A,30,30,129,13,142,129,43,172
,,,,,,,,,,
,2021,22,30,52,126,9,135,148,39,187
,,,,,,,,,,
,2022,26,25,51,-,-,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Incidence of ACL Tears - 2015-2022,,,,,,,,,
,Year,Preseason,,,Regular Season,,,Preseason + Regular Season,,
,,,,,,,,,,
,,Game,Pratice,Total,Game,Pratice,Total,Game,Pratice,Total
,,,,,,,,,,
,2015,16,13,29,25,5,30,41,18,59
,,,,,,,,,,
,2016,11,9,20,29,7,36,40,16,56
,,,,,,,,,,
,2017,16,15,31,21,2,23,37,17,54
,,,,,,,,,,
,2018,18,10,28,24,5,29,42,15,57
,,,,,,,,,,
,2019,10,7,17,25,7,32,35,14,49
,,,,,,,,,,
,2020,N/A,11,11,36,4,40,36,15,51
,,,,,,,,,,
,2021,13,9,22,43,6,49,56,15,71
,,,,,,,,,,
,2022,9,13,22,-,-,-,-,-,-
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Incidence of MCL Tears - 2015-2022,,,,,,,,,
,Year,Preseason,,,Regular Season,,,Preseason + Regular Season,,
,,,,,,,,,,
,,Game,Pratice,Total,Game,Pratice,Total,Game,Pratice,Total
38,,,,,,,,,,
21,2015,38,12,50,104,6,110,142,18,160
20,,,,,,,,,,
23,2016,21,15,36,87,3,90,108,18,126
23,,,,,,,,,,
N/A,2017,20,17,37,98,9,107,118,26,144
18,,,,,,,,,,
,2018,23,14,37,94,1,95,117,15,132
,,,,,,,,,,
,2019,23,7,30,76,3,79,99,10,109
,,,,,,,,,,
,2020,N/A,16,16,95,8,103,95,24,119
,,,,,,,,,,
,2021,18,12,30,93,6,99,111,18,129
,,,,,,,,,,
,2022,14,15,29,-,-,-,-,-,-
