Name,Capacity,Location,Surface,Roof type,Team(s),Opened
Arrowhead Stadium,76416,"Kansas City, Missouri",Bermuda grass,Open,Kansas City Chiefs,1972
AT&T Stadium,80000,"Arlington, Texas",Hellas Matrix Turf,Retractable,Dallas Cowboys,2009
Bank of America Stadium,75523,"Charlotte, North Carolina",Bermuda grass,Open,Carolina Panthers,1996
CenturyLink Field,69000,"Seattle, Washington",FieldTurf Revolution 360,Open,Seattle Seahawks,2002
Dignity Health Sports Park,27000,"Carson, California",Bermuda grass,Open,Los Angeles Chargers,2003
Empower Field at Mile High,76125,"Denver, Colorado",Kentucky bluegrass,Open,Denver Broncos,2001
FedExField,82000,"Landover, Maryland",Bermuda grass,Open,Washington Redskins,1997
FirstEnergy Stadium,67895,"Cleveland, Ohio",Kentucky bluegrass,Open,Cleveland Browns,1999
Ford Field,65000,"Detroit, Michigan",FieldTurf Classic HD,Fixed,Detroit Lions,2002
Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf CORE,Open,New England Patriots,2002
Hard Rock Stadium,65326,"Miami Gardens, Florida",Platinum TE Paspalum,Open,Miami Dolphins,1987
Heinz Field,68400,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open,Pittsburgh Steelers,2001
Lambeau Field,81441,"Green Bay, Wisconsin",Desso GrassMaster,Open,Green Bay Packers,1957
Levi's Stadium,68500,"Santa Clara, California",Bermuda grass / Perennial Ryegrass mixture,Open,San Francisco 49ers,2014
Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",Desso GrassMaster,Open,Philadelphia Eagles,2003
Los Angeles Memorial Coliseum,78500,"Los Angeles, California",Bermuda grass,Open,Los Angeles Rams,1923
Lucas Oil Stadium,67000,"Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable,Indianapolis Colts,2008
M&T Bank Stadium,71008,"Baltimore, Maryland",Bermuda grass,Open,Baltimore Ravens,1998
Mercedes-Benz Superdome,73208,"New Orleans, Louisiana",FieldTurf Revolution 360,Fixed,New Orleans Saints,1975
Mercedes-Benz Stadium,71000,"Atlanta, Georgia",FieldTurf Revolution,Retractable,Atlanta Falcons,2017
MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf,Open,New York Giants,2010
New Era Field,71608,"Orchard Park, New York",A-Turf Titan 50,Open,Buffalo Bills,1973
Nissan Stadium,69143,"Nashville, Tennessee",Bermuda grass,Open,Tennessee Titans,1999
NRG Stadium,72220,"Houston, Texas",Hellas Matrix Turf,Retractable,Houston Texans,2002
Paul Brown Stadium,65515,"Cincinnati, Ohio",UBU Speed Series S5-M Synthetic Turf,Open,Cincinnati Bengals,2000
Raymond James Stadium,65890,"Tampa, Florida",Bermuda grass,Open,Tampa Bay Buccaneers,1998
RingCentral Coliseum,56057,"Oakland, California",Bermuda grass,Open,Oakland Raiders,1966
Soldier Field,61500,"Chicago, Illinois",Kentucky bluegrass,Open,Chicago Bears,1924
State Farm Stadium,63400,"Glendale, Arizona",Bermuda grass,Retractable,Arizona Cardinals,2006
TIAA Bank Field,69132,"Jacksonville, Florida",Bermuda grass,Open,Jacksonville Jaguars,1995
U.S. Bank Stadium,66655,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf,Fixed,Minnesota Vikings,2016
